Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
16,1675281056133,01/02/2023 19:50:56,1675281055925,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-lovedones,D
17,1675281056133,01/02/2023 19:50:56,1675281055925,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-lovedones-quantised,4
18,1675281056133,01/02/2023 19:50:56,1675281055926,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-doingthings,E
19,1675281056133,01/02/2023 19:50:56,1675281055926,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-doingthings-quantised,5
20,1675281056133,01/02/2023 19:50:56,1675281055927,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-welldone,D
21,1675281056133,01/02/2023 19:50:56,1675281055928,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-welldone-quantised,4
22,1675281056133,01/02/2023 19:50:56,1675281055928,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-socialskills,C
23,1675281056271,01/02/2023 19:50:56,1675281055929,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-socialskills-quantised,3
24,1675281056271,01/02/2023 19:50:56,1675281055929,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-nocomparison,B
25,1675281056271,01/02/2023 19:50:56,1675281055930,1,01/02/2023 20:50:55,108492,7,questionnaire-lr52,,26860668,BLIND,7979169,,complete,,,mobile,undefined M2007J17G,Android 10,Facebook 399.0.0.24.93,393x873,393x741,Finished Consent Form,LinkedIn Usage & Impostor Phenomenon,7,Consent Given,Finished Consent Form,LinkedIn Users,No,SocialComparison-nocomparison-quantised,2
