Event Index,UTC Timestamp,UTC Date,Local Timestamp,Local Timezone,Local Date,Experiment ID,Experiment Version,Tree Node Key,Repeat Key,Schedule ID,Participant Public ID,Participant Private ID,Participant Starting Group,Participant Status,Participant Completion Code,Participant External Session ID,Participant Device Type,Participant Device,Participant OS,Participant Browser,Participant Monitor Size,Participant Viewport Size,Checkpoint,Task Name,Task Version,branch-6cmq,checkpoint-r96e,branch-yvp6,Randomise questionnaire elements?,Question Key,Response
4,1675212197608,01/02/2023 00:43:17,1675212197090,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender-quantised,1
5,1675212197608,01/02/2023 00:43:17,1675212197090,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity,Asian
6,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-quantised,1
7,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,ethnicity-text,
8,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,occupation,student 
9,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,education,18
10,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use,Yes
11,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,LinkedIn-use-quantised,1
12,1675212197608,01/02/2023 00:43:17,1675212197091,0,01/02/2023 00:43:17,108492,7,questionnaire-z5r6,,26833962,BLIND,7970524,,complete,,,mobile,Apple iPhone,iOS 16.1.2,WebKit 605.1.15,414x896,414x657,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,END QUESTIONNAIRE,27372
1,1675212542069,01/02/2023 00:49:02,1675212646010,0,01/02/2023 00:50:46,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
2,1675212543911,01/02/2023 00:49:03,1675212647918,0,01/02/2023 00:50:47,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,BEGIN QUESTIONNAIRE,
3,1675212566134,01/02/2023 00:49:26,1675212670106,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,age,21
4,1675212566227,01/02/2023 00:49:26,1675212670108,0,01/02/2023 00:51:10,108492,7,questionnaire-z5r6,,26834051,BLIND,7970556,,complete,,,mobile,Samsung SM-A536B,Android 13,Samsung Browser 19.0,384x854,384x679,Finished Consent Form,Demographics,1,Consent Given,Finished Consent Form,LinkedIn Users,No,gender,Female
